,epoch,train_loss,train_acc,test_loss,test_acc
0,1,0.760500166,70.95166667,0.575141526,78.42
1,2,0.505029349,81.07166667,0.479561248,82.81
2,3,0.428713974,84.33666667,0.424426889,84.62
3,4,0.384096164,85.915,0.388573664,85.95
4,5,0.357720183,86.835,0.368177169,86.61
5,6,0.336826139,87.57666667,0.359920158,86.87
6,7,0.320252655,88.14166667,0.343207538,87.44
7,8,0.310592587,88.32666667,0.338529852,87.65
8,9,0.296140959,89.08333333,0.32695804,88.05
9,10,0.28461689,89.47833333,0.33430173,87.63
10,11,0.275855828,89.775,0.309832854,88.89
11,12,0.266881509,90.07333333,0.305902242,88.89
12,13,0.261069695,90.21333333,0.303539947,89.32
13,14,0.250531848,90.59,0.316037609,88.26
14,15,0.242638141,90.92666667,0.28570124,89.79
15,16,0.235881215,91.075,0.296004607,89.42
16,17,0.231216059,91.37,0.303336743,89.35
17,18,0.223125463,91.61833333,0.293773803,89.75
18,19,0.217689201,91.725,0.301429894,89.61
19,20,0.212204164,92.055,0.296363688,89.55
20,21,0.208540855,92.21833333,0.295500218,89.9
21,22,0.202293278,92.19,0.308927698,89.49
22,23,0.198105677,92.56,0.293986431,89.67
23,24,0.193620294,92.77333333,0.291708025,89.86
24,25,0.190136666,92.74166667,0.305147077,89.64
25,26,0.184743846,93.015,0.304544604,89.84
26,27,0.182653666,93.11666667,0.293964595,90.07
27,28,0.178128774,93.2,0.335493972,89
28,29,0.173308894,93.41666667,0.303243125,89.95
29,30,0.167422356,93.58,0.30695472,90.02
30,31,0.166283075,93.79333333,0.31687533,89.57
31,32,0.163878292,93.76666667,0.310226647,90.14
32,33,0.158396809,93.99666667,0.331677415,89.72
33,34,0.156160001,94.06333333,0.331358055,89.67
34,35,0.151559515,94.23333333,0.326670035,89.85
35,36,0.150417061,94.30833333,0.326361585,89.95
36,37,0.146542323,94.405,0.348394001,89.41
37,38,0.141718064,94.62333333,0.333634904,89.94
38,39,0.140159287,94.685,0.337924492,90
39,40,0.137289757,94.77666667,0.364128519,89.82
40,41,0.133901859,94.905,0.365034835,89.49
41,42,0.131156687,95.025,0.372878175,89.71
42,43,0.127411828,95.14833333,0.367835366,89.43
43,44,0.124945933,95.30666667,0.378601682,89.29
44,45,0.123964232,95.24,0.384484953,89.53
45,46,0.121181832,95.42166667,0.398871558,89.88
46,47,0.117198702,95.675,0.404875543,89.56
47,48,0.117839412,95.53,0.406323642,89.43
48,49,0.112915948,95.75666667,0.407856548,89.73
49,50,0.109059501,95.88,0.43019979,89.87
50,51,0.11278945,95.80166667,0.410870276,89.54
51,52,0.108159208,95.91666667,0.445018617,89.62
52,53,0.107192858,96.01666667,0.447381291,89.44
53,54,0.102068757,96.2,0.458946209,89.49
54,55,0.106252495,96.025,0.440010585,89.41
55,56,0.099512837,96.15333333,0.449310634,89.57
56,57,0.096275451,96.34,0.477619635,88.83
57,58,0.099136421,96.25666667,0.46413423,89.38
58,59,0.09755032,96.31333333,0.478459742,89.65
59,60,0.091189451,96.49166667,0.496835984,89.36
