,epoch,train_loss,train_acc,test_loss,test_acc
0,1,0.523359877,81.185,0.421728111,85.02
1,2,0.355120764,86.905,0.37195168,86.66
2,3,0.319289422,88.21166667,0.340618345,87.87
3,4,0.29240421,89.345,0.340773842,87.57
4,5,0.278403435,89.72833333,0.307419731,88.61
5,6,0.264038077,90.22666667,0.321204391,88.14
6,7,0.253100938,90.66333333,0.304832477,88.73
7,8,0.242689838,90.91333333,0.296521245,89.1
8,9,0.231841014,91.295,0.28477986,89.7
9,10,0.224482155,91.565,0.295735532,89.18
10,11,0.215664443,91.92166667,0.293968296,89.6
11,12,0.209209163,92.07666667,0.291521494,89.38
12,13,0.203037843,92.42166667,0.294655948,89.24
13,14,0.194572329,92.67166667,0.298992671,89.29
14,15,0.187221457,92.92666667,0.29660628,89.64
15,16,0.183045494,93.06833333,0.299105624,89.71
16,17,0.177158679,93.20333333,0.29685682,89.95
17,18,0.170309865,93.55166667,0.313972962,89.48
18,19,0.163930477,93.80833333,0.336593232,89.08
19,20,0.158733609,94.055,0.305210941,89.64
20,21,0.154555786,94.28166667,0.313238505,89.72
21,22,0.150440365,94.26,0.363584857,88.47
22,23,0.145905773,94.49666667,0.322804258,89.55
23,24,0.138630923,94.70166667,0.338568646,89.73
24,25,0.135960802,94.84666667,0.34148879,89.17
25,26,0.13528233,94.81833333,0.352474111,89.74
26,27,0.127275642,95.13,0.358004454,89.24
27,28,0.124689438,95.22833333,0.35984916,89.35
28,29,0.119881652,95.495,0.399865981,88.78
29,30,0.11808057,95.49666667,0.395901888,88.87
30,31,0.112151021,95.725,0.38355167,89.61
31,32,0.109190627,95.81833333,0.41484681,89.27
32,33,0.107044688,95.915,0.423656048,88.64
33,34,0.105530742,95.97666667,0.41081325,89.32
34,35,0.100532729,96.18,0.402074907,89.06
35,36,0.098907845,96.29,0.401419159,89.55
36,37,0.09361837,96.39166667,0.439564725,88.58
37,38,0.094998047,96.275,0.481320087,89.36
38,39,0.090732407,96.50333333,0.444988702,89.25
39,40,0.086682793,96.65166667,0.489672787,88.14
40,41,0.089362617,96.53,0.467727654,89.31
41,42,0.082204192,96.89,0.467836271,89.19
42,43,0.082740019,96.855,0.467175678,89.35
43,44,0.081724783,96.815,0.504890198,88.9
44,45,0.075045431,97.09166667,0.533461281,88.48
45,46,0.073675362,97.145,0.534682825,89.06
46,47,0.073450091,97.245,0.546988054,88.97
47,48,0.071566805,97.205,0.551728874,88.86
48,49,0.069966146,97.32,0.5401104,88.9
49,50,0.067845468,97.415,0.57686968,89.03
50,51,0.066723357,97.48333333,0.558135711,88.97
51,52,0.064479712,97.55333333,0.581855641,89.18
52,53,0.06467782,97.55666667,0.552427941,88.73
53,54,0.062388781,97.60166667,0.609962593,88.66
54,55,0.067050349,97.46,0.584529691,88.74
55,56,0.056041374,97.835,0.586709457,89.03
56,57,0.061545179,97.67,0.601780028,88.79
57,58,0.057531588,97.765,0.625273683,88.68
58,59,0.058076793,97.77166667,0.640833831,88.82
59,60,0.056864229,97.83833333,0.657212214,88.42
