,epoch,train_loss,train_acc,test_loss,test_acc
0,1,0.768859565,70.60333333,0.587764613,78.1
1,2,0.512745262,80.96666667,0.491004324,82.36
2,3,0.436875574,84.115,0.432794697,84.35
3,4,0.393417993,85.69,0.40086164,85.58
4,5,0.367245628,86.605,0.378702161,86.19
5,6,0.345436445,87.36666667,0.369284272,86.25
6,7,0.328450814,88,0.35482871,87.04
7,8,0.316968225,88.25166667,0.349347855,87.29
8,9,0.303688393,88.83,0.346489869,87.22
9,10,0.29573556,89.06833333,0.35394417,86.78
10,11,0.288362091,89.38666667,0.320586109,88.49
11,12,0.2804022,89.61,0.314134084,88.77
12,13,0.275153276,89.82666667,0.315507824,88.79
13,14,0.266311637,90.14,0.320743288,88.15
14,15,0.260318514,90.44666667,0.306050753,89.01
15,16,0.254819952,90.525,0.316086662,88.49
16,17,0.252367878,90.68166667,0.308438107,88.74
17,18,0.247695937,90.85833333,0.307094238,88.77
18,19,0.241775145,90.95666667,0.297257965,89.28
19,20,0.238605512,91.21,0.297465512,89.36
20,21,0.236522711,91.25166667,0.294128676,89.32
21,22,0.231183496,91.52,0.326182734,88.56
22,23,0.226152866,91.655,0.285559519,89.77
23,24,0.224900946,91.62333333,0.293065686,89.65
24,25,0.221939264,91.84333333,0.298661993,89.13
25,26,0.219415843,91.865,0.298829222,89.21
26,27,0.217327958,92.01833333,0.294665507,89.66
27,28,0.214624058,92.055,0.312493941,88.62
28,29,0.210849644,92.24,0.301020003,89.58
29,30,0.207929294,92.32666667,0.285575004,89.66
30,31,0.20490654,92.43333333,0.295874415,89.53
31,32,0.204827745,92.40333333,0.289306316,89.74
32,33,0.201530669,92.50166667,0.291881234,89.54
33,34,0.198745204,92.67833333,0.29303786,89.58
34,35,0.195497739,92.705,0.279171995,90.18
35,36,0.194970291,92.78,0.285352226,89.85
36,37,0.193242644,92.82166667,0.288341365,89.85
37,38,0.190537232,92.97833333,0.305836486,89.41
38,39,0.189097658,93.07166667,0.286261977,89.88
39,40,0.188737725,92.95333333,0.290965235,90.05
40,41,0.186272941,93.14166667,0.31522782,89.51
41,42,0.18192803,93.35166667,0.287374139,89.97
42,43,0.181504231,93.275,0.280203469,90.26
43,44,0.179662413,93.31,0.296030726,89.66
44,45,0.17981751,93.33166667,0.310482313,89.08
45,46,0.176534096,93.41166667,0.289326896,90.2
46,47,0.17409467,93.58833333,0.28307896,90.14
47,48,0.173443034,93.61333333,0.295552279,89.79
48,49,0.172597335,93.57166667,0.292449403,90.07
49,50,0.170362867,93.69666667,0.280091468,90.38
50,51,0.1677899,93.70333333,0.294487878,89.68
51,52,0.16720083,93.84333333,0.279468332,90.25
52,53,0.166398414,93.78666667,0.287376886,90
53,54,0.165882893,93.81833333,0.285421152,90.11
54,55,0.163706605,93.945,0.289745882,89.81
55,56,0.159861912,94.00666667,0.275104249,90.34
56,57,0.160870521,93.93833333,0.287592785,89.83
57,58,0.160644746,94.13833333,0.292105659,89.97
58,59,0.159665647,94.03666667,0.301318968,90.05
59,60,0.155305824,94.19333333,0.310429838,89.72
