,epoch,train_loss,train_acc,test_loss,test_acc
0,1,0.813403115,69.28833333,0.578197799,77.93
1,2,0.55454707,79.015,0.501202265,80.58
2,3,0.487199208,82.17333333,0.446786329,83.46
3,4,0.437975799,84.18,0.410260225,85.08
4,5,0.403312281,85.44166667,0.421873341,84.58
5,6,0.376431095,86.42,0.381209211,85.92
6,7,0.354835777,87.29666667,0.354022946,86.92
7,8,0.340209391,87.73833333,0.34082482,87.73
8,9,0.324311901,88.165,0.339490936,87.42
9,10,0.313191591,88.66166667,0.333609822,87.7
10,11,0.303285659,88.99666667,0.324090362,88.58
11,12,0.293756809,89.27333333,0.321875242,88.73
12,13,0.283202697,89.68333333,0.315699036,88.4
13,14,0.277622522,89.77833333,0.310502031,88.6
14,15,0.270110834,90.135,0.310397703,88.59
15,16,0.263586939,90.25333333,0.307495161,88.91
16,17,0.257507395,90.55,0.332433993,87.64
17,18,0.251414306,90.72666667,0.30174664,89.06
18,19,0.250389985,90.755,0.300226921,89.12
19,20,0.243114357,90.89666667,0.322220661,88.81
20,21,0.238891289,91.19666667,0.295242894,89.37
21,22,0.232841647,91.39833333,0.297283849,89.4
22,23,0.228798695,91.45666667,0.303924502,89.22
23,24,0.223012214,91.65,0.298294487,89.54
24,25,0.220981713,91.67166667,0.294214234,89.84
25,26,0.21614297,91.78666667,0.305944908,89.29
26,27,0.213373618,92.06,0.297421392,89.89
27,28,0.210934697,92.125,0.295536632,89.66
28,29,0.205177422,92.25666667,0.311113651,89.38
29,30,0.203339614,92.28833333,0.30466031,89.71
30,31,0.199542888,92.44333333,0.313774548,89.68
31,32,0.197997173,92.47333333,0.302900218,89.67
32,33,0.195461921,92.55333333,0.313147863,89.98
33,34,0.193446875,92.645,0.322564285,89.41
34,35,0.188833255,92.74333333,0.317018455,89.3
35,36,0.187193857,92.82,0.320942995,89.72
36,37,0.184878222,92.95333333,0.328381249,89.26
37,38,0.181602905,92.97833333,0.322247941,89.73
38,39,0.179005297,93.09,0.332666948,89.46
39,40,0.178309404,93.155,0.330291077,89.6
40,41,0.175408716,93.23833333,0.341138536,89.83
41,42,0.171036103,93.485,0.341338387,89.12
42,43,0.170252894,93.34,0.336408996,89.91
43,44,0.170410803,93.35333333,0.349935783,89.55
44,45,0.166365823,93.56333333,0.333407069,89.65
45,46,0.165366443,93.60666667,0.348908145,89.36
46,47,0.166223545,93.59,0.340033581,89.83
47,48,0.162898617,93.66333333,0.350113228,89.52
48,49,0.159510722,93.83166667,0.363478004,89.67
49,50,0.158669947,93.85,0.366025827,89.17
50,51,0.155528081,93.92833333,0.35066003,89.74
51,52,0.153909018,93.985,0.359634445,89.63
52,53,0.154218612,94.00333333,0.369517107,89.36
53,54,0.151998981,94.03666667,0.379447044,89.54
54,55,0.152537586,94.02833333,0.359862387,89.56
55,56,0.146480641,94.265,0.385313505,89.71
56,57,0.149372279,94.13333333,0.391396435,89.27
57,58,0.147749111,94.23166667,0.386484999,89.79
58,59,0.148326857,94.17666667,0.409331077,89.67
59,60,0.143300456,94.40833333,0.392828674,89.33
