,epoch,train_loss,train_acc,test_loss,test_acc
0,1,0.524314473,81.13833333,0.413334101,85.6
1,2,0.356528095,86.99666667,0.375044629,86.62
2,3,0.322674764,88.13666667,0.339042152,87.8
3,4,0.297367358,89.14833333,0.342927867,87.32
4,5,0.28520329,89.47666667,0.311297027,88.5
5,6,0.27135131,89.945,0.324381351,88.01
6,7,0.263267556,90.23833333,0.299083879,89.09
7,8,0.253348814,90.655,0.310324831,88.58
8,9,0.24597136,90.88,0.291259708,89.37
9,10,0.239709543,91.10333333,0.301149087,88.94
10,11,0.233618544,91.38833333,0.288040423,89.84
11,12,0.228453518,91.50333333,0.299671571,89.47
12,13,0.224001289,91.76666667,0.302673816,88.64
13,14,0.218728179,91.81166667,0.324974547,87.78
14,15,0.213314709,92.02833333,0.301314971,89.03
15,16,0.210982472,92.13833333,0.29439936,89.54
16,17,0.20670773,92.19,0.287194285,89.68
17,18,0.202974899,92.405,0.284164556,89.58
18,19,0.198937216,92.615,0.316051069,89
19,20,0.19456598,92.81166667,0.2824418,89.84
20,21,0.192693358,92.77666667,0.277922814,89.95
21,22,0.191581577,92.71333333,0.293464305,89.47
22,23,0.18579418,93.025,0.279908915,90.37
23,24,0.184734309,92.96166667,0.298243412,89.74
24,25,0.181360544,93.22666667,0.288897221,89.73
25,26,0.179534407,93.35666667,0.280593905,90.11
26,27,0.177166896,93.28333333,0.296990206,89.95
27,28,0.173022889,93.48166667,0.370895919,87.78
28,29,0.172189274,93.58833333,0.298782802,89.61
29,30,0.170287084,93.58666667,0.306944036,88.93
