,epoch,train_loss,train_acc,test_loss,test_acc
0,1,0.588757043,79.065,0.418063225,84.73
1,2,0.388772306,86.1,0.369698121,86.64
2,3,0.345544207,87.64833333,0.360584301,87.05
3,4,0.324778492,88.24666667,0.323254764,88.14
4,5,0.30609656,89.125,0.353499491,87.33
5,6,0.294568593,89.31833333,0.305037793,88.71
6,7,0.284222436,89.73,0.30270121,88.73
7,8,0.275518709,90.13166667,0.315499954,88.29
8,9,0.266379386,90.33166667,0.325677143,88.15
9,10,0.260222871,90.57,0.303927702,89.2
10,11,0.255340056,90.76666667,0.289366135,89.61
11,12,0.250000522,90.97833333,0.294231881,89.25
12,13,0.244875082,91.11666667,0.30020837,89.32
13,14,0.239150858,91.28166667,0.283692775,89.74
14,15,0.234529229,91.54666667,0.283948806,89.71
15,16,0.230125131,91.63833333,0.284666803,89.82
16,17,0.226652979,91.84166667,0.296265293,88.9
17,18,0.223126324,91.9,0.270459477,90
18,19,0.218545751,92.06166667,0.291153204,89.49
19,20,0.216699903,92.125,0.292058121,89.5
20,21,0.214471822,92.19666667,0.31052049,89.43
21,22,0.210560647,92.25833333,0.283588874,89.84
22,23,0.204992845,92.48166667,0.303547444,89.54
23,24,0.205716514,92.48333333,0.303736204,89.44
24,25,0.200026822,92.73666667,0.269546663,90.18
25,26,0.198103548,92.78,0.290073919,89.64
26,27,0.198018761,92.83666667,0.283756301,89.93
27,28,0.194137982,92.985,0.285764762,90.03
28,29,0.190000626,93.13,0.308801927,89.56
29,30,0.190919974,93.01833333,0.271186911,90.19
